,mZD,Gamma_ZD/(epsilon^2 GeV),Br(ZD->ll)/epsilon^2,Br(h->ZDZ^(*)->4l)/epsilon^2,Br(h->ZDZD->4l)/kappaprime^2,,,,,,,,,,,,,,,,,,,,
,0.36,0.00193,0.92,4.68E-06,1002.548745,,,,,,,,,,,,,,,,,,,,
,0.37,0.00202,0.913,4.91E-06,988.0423449,,,,,,,,,,,,,,,,,,,,
,0.38,0.0021,0.904,5.13E-06,968.4525733,,,,,,,,,,,,,,,,,,,,
,0.39,0.00215,0.911,5.44E-06,984.3379124,,,,,,,,,,,,,,,,,,,,
,0.4,0.00223,0.904,5.68E-06,968.9822814,,,,,,,,,,,,,,,,,,,,
,0.41,0.00233,0.892,5.89E-06,942.8176819,,,,,,,,,,,,,,,,,,,,
,0.42,0.00238,0.894,6.19E-06,946.6053394,,,,,,,,,,,,,,,,,,,,
,0.43,0.0025,0.873,6.34E-06,903.537076,,,,,,,,,,,,,,,,,,,,
,0.438,0.00261,0.856,6.45E-06,867.7626198,,,,,,,,,,,,,,,,,,,,
,0.44,0.00257,0.872,6.63E-06,901.1848625,,,,,,,,,,,,,,,,,,,,
,0.45,0.00269,0.855,6.80E-06,866.5693546,,,,,,,,,,,,,,,,,,,,
,0.46,0.00273,0.863,7.17E-06,882.9149698,,,,,,,,,,,,,,,,,,,,
,0.47,0.00287,0.84,7.29E-06,837.1890812,,,,,,,,,,,,,,,,,,,,
,0.48,0.003,0.822,7.44E-06,801.682535,,,,,,,,,,,,,,,,,,,,
,0.483,0.00302,0.82,7.51E-06,796.6440432,,,,,,,,,,,,,,,,,,,,
,0.5,0.00321,0.802,7.88E-06,763.2549185,,,,,,,,,,,,,,,,,,,,
,0.51,0.00335,0.784,8.01E-06,728.9486189,,,,,,,,,,,,,,,,,,,,
,0.52,0.00341,0.786,8.34E-06,731.6455501,,,,,,,,,,,,,,,,,,,,
,0.53,0.00363,0.752,8.30E-06,671.0498675,,,,,,,,,,,,,,,,,,,,
,0.54,0.0038,0.735,8.41E-06,639.7156916,,,,,,,,,,,,,,,,,,,,
,0.55,0.00394,0.722,8.58E-06,617.6952411,,,,,,,,,,,,,,,,,,,,
,0.56,0.0041,0.706,8.70E-06,590.7558387,,,,,,,,,,,,,,,,,,,,
,0.58,0.00449,0.669,8.83E-06,529.6510201,,,,,,,,,,,,,,,,,,,,
,0.59938,0.00508,0.611,8.62E-06,442.4553972,,,,,,,,,,,,,,,,,,,,
,0.6,0.0051,0.609,8.62E-06,440.0687152,,,,,,,,,,,,,,,,,,,,
,0.6024,0.00537,0.581,8.29E-06,400.531679,,,,,,,,,,,,,,,,,,,,
,0.6105,0.00546,0.58,8.49E-06,398.3765204,,,,,,,,,,,,,,,,,,,,
,0.6125,0.00552,0.576,8.48E-06,392.6181213,,,,,,,,,,,,,,,,,,,,
,0.62,0.00574,0.56,8.46E-06,372.0410439,,,,,,,,,,,,,,,,,,,,
,0.6205,0.00609,0.528,7.99E-06,330.808271,,,,,,,,,,,,,,,,,,,,
,0.62951,0.00627,0.521,8.10E-06,321.2856383,,,,,,,,,,,,,,,,,,,,
,0.63,0.00628,0.52,8.11E-06,320.7903246,,,,,,,,,,,,,,,,,,,,
,0.6305,0.00657,0.498,7.77E-06,293.4015426,,,,,,,,,,,,,,,,,,,,
,0.6375,0.00642,0.515,8.23E-06,314.6434092,,,,,,,,,,,,,,,,,,,,
,0.64,0.00636,0.522,8.40E-06,322.8117748,,,,,,,,,,,,,,,,,,,,
,0.64051,0.00677,0.491,7.91E-06,285.3414269,,,,,,,,,,,,,,,,,,,,
,0.6426,0.00705,0.473,7.67E-06,265.3254867,,,,,,,,,,,,,,,,,,,,
,0.65049,0.00745,0.453,7.53E-06,243.1954738,,,,,,,,,,,,,,,,,,,,
,0.65952,0.00799,0.428,7.32E-06,217.4097429,,,,,,,,,,,,,,,,,,,,
,0.66,0.00803,0.427,7.30E-06,215.9700466,,,,,,,,,,,,,,,,,,,,
,0.6605,0.00786,0.436,7.48E-06,225.7711778,,,,,,,,,,,,,,,,,,,,
,0.6626,0.00821,0.419,7.22E-06,207.9450997,,,,,,,,,,,,,,,,,,,,
,0.6705,0.00869,0.401,7.07E-06,190.1334862,,,,,,,,,,,,,,,,,,,,
,0.6776,0.00938,0.375,6.77E-06,166.8085897,,,,,,,,,,,,,,,,,,,,
,0.68059,0.0103,0.343,6.24E-06,139.3440344,,,,,,,,,,,,,,,,,,,,
,0.6875,0.0109,0.328,6.09E-06,127.4909326,,,,,,,,,,,,,,,,,,,,
,0.6876,0.0109,0.328,6.09E-06,127.3305928,,,,,,,,,,,,,,,,,,,,
,0.68956,0.011,0.326,6.09E-06,126.0378116,,,,,,,,,,,,,,,,,,,,
,0.69,0.011,0.326,6.09E-06,125.7488772,,,,,,,,,,,,,,,,,,,,
,0.69043,0.0109,0.33,6.18E-06,128.9214871,,,,,,,,,,,,,,,,,,,,
,0.6976,0.0119,0.304,5.81E-06,109.4154643,,,,,,,,,,,,,,,,,,,,
,0.7,0.0123,0.297,5.71E-06,104.3744167,,,,,,,,,,,,,,,,,,,,
,0.70052,0.0123,0.295,5.69E-06,103.3880617,,,,,,,,,,,,,,,,,,,,
,0.7076,0.0129,0.285,5.60E-06,96.0540147,,,,,,,,,,,,,,,,,,,,
,0.71047,0.014,0.264,5.23E-06,82.5169667,,,,,,,,,,,,,,,,,,,,
,0.7176,0.0144,0.259,5.25E-06,79.74508924,,,,,,,,,,,,,,,,,,,,
,0.71951,0.0153,0.245,4.98E-06,71.04809088,,,,,,,,,,,,,,,,,,,,
,0.72,0.0155,0.241,4.92E-06,69.04394259,,,,,,,,,,,,,,,,,,,,
,0.72025,0.0159,0.236,4.80E-06,65.87194213,,,,,,,,,,,,,,,,,,,,
,0.7276,0.0163,0.232,4.83E-06,63.89940459,,,,,,,,,,,,,,,,,,,,
,0.73024,0.0172,0.221,4.63E-06,57.83793477,,,,,,,,,,,,,,,,,,,,
,0.7375,0.0182,0.21,4.49E-06,52.32363523,,,,,,,,,,,,,,,,,,,,
,0.7376,0.0183,0.21,4.49E-06,52.25324527,,,,,,,,,,,,,,,,,,,,
,0.74,0.0216,0.178,3.83E-06,37.55935653,,,,,,,,,,,,,,,,,,,,
,0.7402,0.0189,0.204,4.39E-06,49.21996924,,,,,,,,,,,,,,,,,,,,
,0.7476,0.0198,0.196,4.31E-06,45.63182723,,,,,,,,,,,,,,,,,,,,
,0.7495,0.0203,0.192,4.24E-06,43.72263275,,,,,,,,,,,,,,,,,,,,
,0.74979,0.0204,0.191,4.23E-06,43.4370981,,,,,,,,,,,,,,,,,,,,
,0.75,0.0204,0.191,4.22E-06,43.25176435,,,,,,,,,,,,,,,,,,,,
,0.7502,0.0182,0.214,4.73E-06,54.1613644,,,,,,,,,,,,,,,,,,,,
,0.75028,0.0211,0.185,4.09E-06,40.5050377,,,,,,,,,,,,,,,,,,,,
,0.7504,0.0211,0.185,4.08E-06,40.40391835,,,,,,,,,,,,,,,,,,,,
,0.7576,0.0212,0.186,4.20E-06,41.04018215,,,,,,,,,,,,,,,,,,,,
,0.7595,0.0215,0.183,4.16E-06,39.89102031,,,,,,,,,,,,,,,,,,,,
,0.75979,0.0216,0.183,4.15E-06,39.71596705,,,,,,,,,,,,,,,,,,,,
,0.76,0.0218,0.181,4.12E-06,39.03020503,,,,,,,,,,,,,,,,,,,,
,0.76018,0.0226,0.175,3.97E-06,36.18305482,,,,,,,,,,,,,,,,,,,,
,0.7604,0.0223,0.177,4.03E-06,37.28661218,,,,,,,,,,,,,,,,,,,,
,0.7635,0.0222,0.179,4.10E-06,37.89250858,,,,,,,,,,,,,,,,,,,,
,0.76379,0.0222,0.179,4.10E-06,37.93918643,,,,,,,,,,,,,,,,,,,,
,0.764,0.0222,0.179,4.10E-06,37.81656132,,,,,,,,,,,,,,,,,,,,
,0.76417,0.0228,0.175,4.00E-06,36.10563935,,,,,,,,,,,,,,,,,,,,
,0.7644,0.0227,0.175,4.02E-06,36.30918676,,,,,,,,,,,,,,,,,,,,
,0.765,0.0228,0.175,4.02E-06,36.1923068,,,,,,,,,,,,,,,,,,,,
,0.7676,0.023,0.174,4.02E-06,35.69226844,,,,,,,,,,,,,,,,,,,,
,0.7695,0.0235,0.171,3.97E-06,34.4575137,,,,,,,,,,,,,,,,,,,,
,0.76979,0.0235,0.17,3.96E-06,34.25582565,,,,,,,,,,,,,,,,,,,,
,0.77,0.024,0.167,3.88E-06,32.94550809,,,,,,,,,,,,,,,,,,,,
,0.77011,0.025,0.16,3.73E-06,30.40761324,,,,,,,,,,,,,,,,,,,,
,0.7704,0.0247,0.162,3.78E-06,31.20553914,,,,,,,,,,,,,,,,,,,,
,0.7732,0.0258,0.156,3.65E-06,28.69752804,,,,,,,,,,,,,,,,,,,,
,0.7735,0.026,0.155,3.64E-06,28.38773351,,,,,,,,,,,,,,,,,,,,
,0.7736,0.0261,0.154,3.63E-06,28.25856665,,,,,,,,,,,,,,,,,,,,
,0.77379,0.0263,0.153,3.59E-06,27.65146328,,,,,,,,,,,,,,,,,,,,
,0.774,0.0266,0.151,3.56E-06,27.18814932,,,,,,,,,,,,,,,,,,,,
,0.77438,0.0264,0.152,3.59E-06,27.50956062,,,,,,,,,,,,,,,,,,,,
,0.7744,0.027,0.149,3.51E-06,26.33696062,,,,,,,,,,,,,,,,,,,,
,0.7756,0.029,0.139,3.29E-06,22.98603033,,,,,,,,,,,,,,,,,,,,
,0.7775,0.0317,0.128,3.03E-06,19.33932973,,,,,,,,,,,,,,,,,,,,
,0.7776,0.0318,0.127,3.02E-06,19.17410552,,,,,,,,,,,,,,,,,,,,
,0.77779,0.0325,0.125,2.96E-06,18.39184068,,,,,,,,,,,,,,,,,,,,
,0.778,0.0336,0.121,2.87E-06,17.22955935,,,,,,,,,,,,,,,,,,,,
,0.77811,0.0345,0.117,2.79E-06,16.31760406,,,,,,,,,,,,,,,,,,,,
,0.77817,0.0353,0.115,2.73E-06,15.59485993,,,,,,,,,,,,,,,,,,,,
,0.7782,0.0345,0.117,2.80E-06,16.35879281,,,,,,,,,,,,,,,,,,,,
